This is a model of Nomoto's that has been converted to Woosley's format









  65 0.8417 0.0099   4.151E+07   1.564E+09   7.847E+09   4.479E-01   0.000E+00  -1.034E+08   1.192E+00   8.861E+26
  66 0.8516 0.0109   4.208E+07   1.473E+09   7.794E+09   4.487E-01   0.000E+00  -1.046E+08   1.202E+00   8.243E+26
  67 0.8625 0.0109   4.273E+07   1.385E+09   7.772E+09   4.491E-01   0.000E+00  -1.059E+08   1.220E+00   7.656E+26
  68 0.8734 0.0108   4.341E+07   1.302E+09   7.722E+09   4.498E-01   0.000E+00  -1.073E+08   1.232E+00   7.098E+26
  69 0.8842 0.0109   4.410E+07   1.224E+09   7.811E+09   4.485E-01   0.000E+00  -1.086E+08   1.278E+00   6.570E+26
  70 0.8951 0.0108   4.481E+07   1.148E+09   7.753E+09   4.494E-01   0.000E+00  -1.101E+08   1.289E+00   6.069E+26
  71 0.9059 0.0109   4.554E+07   1.075E+09   7.692E+09   4.502E-01   0.000E+00  -1.114E+08   1.300E+00   5.595E+26
  72 0.9168 0.0108   4.630E+07   1.005E+09   7.627E+09   4.510E-01   0.000E+00  -1.128E+08   1.312E+00   5.147E+26
  73 0.9276 0.0108   4.708E+07   9.373E+08   7.560E+09   4.518E-01   0.000E+00  -1.142E+08   1.323E+00   4.724E+26
  74 0.9384 0.0107   4.788E+07   8.728E+08   7.491E+09   4.526E-01   0.000E+00  -1.157E+08   1.335E+00   4.326E+26
  75 0.9491 0.0107   4.872E+07   8.109E+08   7.418E+09   4.534E-01   0.000E+00  -1.172E+08   1.347E+00   3.950E+26
  76 0.9598 0.0107   4.959E+07   7.517E+08   7.343E+09   4.541E-01   0.000E+00  -1.189E+08   1.360E+00   3.597E+26
  77 0.9705 0.0107   5.049E+07   6.951E+08   7.267E+09   4.549E-01   0.000E+00  -1.206E+08   1.373E+00   3.266E+26
  78 0.9812 0.0107   5.142E+07   6.413E+08   7.187E+09   4.556E-01   0.000E+00  -1.223E+08   1.385E+00   2.956E+26
